TweetsID,Cleaned_Tweets
62c025362199f17ae64a6e30,the insurance industry has an opportunity to develop affirmative physical damage offerings URL user_mention cambridgecentreofriskstudies russiaukraine cyber risk geopoliticalrisk 
62c02a9e2199f17ae64a6e3b,user_mention user_mention user_mention user_mention the wellknown russian socialist putin come on man this is silly explain this to me then please URL all traitors to their glorious nations nationalism is for idiots
62c02ad82199f17ae64a6e3d,latest russiaukraine war live updates URL latest live russiaukraine updates war worldnewz247 URL 
62c0317f5dcb23acdffbcf39,the millions of ukrainians who fled russias invasion of their country are making new homes around the world including in the united states user_mention is in california with the story of a family who have made a new life here URL 
62c0318e5dcb23acdffbcf3b,russias remote communities feel fallout from ukraine invasion URL 
62c031b75dcb23acdffbcf45,user_mention user_mention user_mention wasnt that a pact which german archives show was a pact which recognizes contributed that russia won by during the pact fought of the german japanese ally invasion from the east with same general in nick of time to fight the germans
62c032045dcb23acdffbcf62,russia admits its running out of weapons in ukraine war URL 
62c0325e5dcb23acdffbcf80,they were thinking of egypt youre thinking about the danquahofori atta family friends and cronies thats the difference you are rich today not because of any significant work but because your fam is in power pds agyapa asase african legal the loot is just too much
62c032aa5dcb23acdffbcf8b,russia admits its running out of weapons in ukraine war oops URL 
62c033475dcb23acdffbcfbf,since russia launched an unprovoked invasion of ukraine on 24 february 2022 the european security architecture is being redrawn finlands and swedens nato membership will make an alliance that protects peace stability and freedom even stronger eudefence URL 
62c033475dcb23acdffbcfc2,in interview pope suggests russias invasion maybe encouraged by the barking of nato at russias door he followed up saying ukraine invasion had no clear good guys and bad guys sad to see current pontiffs moral confusion closer to pius xii than john paul ii
62c033585dcb23acdffbcfc7,this war outside of even just ukraine really has multiple exponential layers of damage that its doing user_mention scott dehnisch told user_mention user_mention one unexpected example is how its affecting the regions ability to respond to summer wildfires URL 
62c033835dcb23acdffbcfcf,eu countries have struck a deal to pursue tougher climate policies despite fears among some member states that a rush to shore up energy supplies after russias invasion of ukraine would weaken europes environmental ambitions URL 
62c033aa5dcb23acdffbcfde,absolutely ridiculous amp shameless user_mention have you dumb deep pockets a courage to bring german chancellor or any other eu leader amp ask why they dont condemn india for inhuman vicious occupation on kashmir why they carried on trade ties with russia even after its invasion
62c033b35dcb23acdffbcfe1,user_mention user_mention user_mention it wasnt russia whom bombed lybia irak siria yugoslavia and afghanistan without the un approval and with build up lies to justify the invasion of sovereign states and yet i wont join any military side but will expose the truth that scares you all
62c034ac5dcb23acdffbd025,user_mention user_mention user_mention user_mention russia not having a puppet in office encouraged their invasion
62c034ec5dcb23acdffbd02f,biden notched gains at summit returns to turmoil at home breakingnews ukrainerussiacrisis pentagon nato europeanunion unitednations crimea ukraine kyiv russia europe blacksea belarus thebaltics sanctions swiftban invasion un crimes URL 
62c035535dcb23acdffbd043,user_mention and anyone in russia who questions the invasion gets fined and thrown in prison
62c035c35dcb23acdffbd05d,user_mention user_mention user_mention a time lapse graphic thats well worth a watch URL 
62c035d95dcb23acdffbd061,bitcoin mining in russia largely unaffected amid ukraine invasion please share like amp follow user_mention cryptonews crypto cryptocurrency user_mention URL 
62c0364f5dcb23acdffbd07d,user_mention user_mention user_mention check your fact permanently sfb he is the speaker of the ukrainian parliament ruslanstefantschuk met with chancellor olaf scholz in berlin stefanchuk invited the chancellor to witness the ukrainian invasion of russia ll URL 
62c0365c5dcb23acdffbd083,shredded trees dead dolphins and wildfires how russias invasion is hurting nature npr URL 
62c036a35dcb23acdffbd08f, shakhtar has been helping children who lost their parents after russias invasion of ukraine the car with the parents of seraphym 5 years old and tymofei 12 years old inside was shot by russian invaders in midmarch on the way home URL 
62c0378d5dcb23acdffbd0b7,were not saying ghana should not go to the imf thats why it was set up were angry because you held to an elevy or imf ransom and still went there after getting your way you have made politics a very sad thing sir
62c037a85dcb23acdffbd0c1,maybe its time for good old russia to get serious in ukraine and militarize her economy across the boardthe doctrine known as military socialism URL 
62c038405dcb23acdffbd0db,there is no war between russia and ukraine it is an invasion ùkraine is defending itself un nato what if moscow where there are innocent people can be leveled like sodoma and gomora in one day this cant be condoned putin go back or god will pull you by nose
62c038415dcb23acdffbd0dd,lets save lives by choking off russias ability to access the funds amp the resources they need to wage this criminal invasion of ukraine cc user_mention user_mention user_mention user_mention
62c038445dcb23acdffbd0df,user_mention user_mention the strategy and food supplies of the russian army said enough URL 
62c038975dcb23acdffbd0ee,7222 while neither russia nor ukraine are subject to the international court icc prosecutor karim khan said he was opening an investigation into the possibility of war crimes being committed during russias invasion of ukraine
62c039355dcb23acdffbd106,user_mention user_mention user_mention i give you facts you call me brainwashed you spout russian speaking points that have been disputed sorry but youre the only one brainwashed here the russian invasion of ukraine was staged by russia amp is recognized globally as illegal russia attacks civilians amp homes
62c039605dcb23acdffbd107,user_mention user_mention user_mention user_mention user_mention user_mention user_mention user_mention estonia latvia lithuania as well as ukraine were under russianslavery totalitarianism and russianpropaganda for a long time they dont want to return to ussr2 or putinsempire URL 
62c039c85dcb23acdffbd11c,user_mention ask him where his party gets donations from URL URL 
62c03a2a5dcb23acdffbd12f, putinll also continue to use 1 of his favorite weapons refugees direct russian military action or covert ops have helped force millions of refugees to seek safety in europe turkey jordan amp other countries even be4 the latest ukraine invasion russia ruscism rashism 
62c03a9b5dcb23acdffbd14b,user_mention user_mention user_mention user_mention everything and everyone better than russian invasionif you think russia is right to invade a free countrygo to russia to see how a dictatorship isgo live that country for one month if ukraine stops fighting all ukrainians will de deported do you know how deportation works
62c03aae5dcb23acdffbd153,the ukraine war is prompting longterm military rethinks across europe as russias modernised military falters user_mention URL 
62c03b195dcb23acdffbd167,i think its about time we stop the comparison and focus on the unrealistic flagship policies by this government lets focus on the inability of this government to generate enough income locally and sustain a ghana beyond aid another failed promise
62c03b8c5dcb23acdffbd17b,35000 russians killed in ukraine since the start of the new invasion 100000 wounded thefallofputin ukraine getputin evilputin russia thefallofrussia freedomofrussia pahonia 
62c03bd45dcb23acdffbd181,marikong user_mention india abstained at the un vote on a resolution that reprimanded the russian invasion it relies on russia for many of its weapons its nonalliance policy is now tested also other asian nations responses to the invasion URL 
62c03c115dcb23acdffbd191,129 days of fullscale russias war on ukraine information on russian invasion losses of the russian armed forces in ukraine july 2 URL 
62c03d135dcb23acdffbd1a9,why are you tweeting this when we have the men fraternity have said on several platforms that imf is a no go area for this government if i am in your shoes i will be tweeting about some of the gains we might get by going to imf all this comparism are baseless and stop comparing
62c03d335dcb23acdffbd1ac,user_mention user_mention user_mention user_mention and you would be suggesting that china and russia dont have themselves a death cult that is quite ludicrous especially given the russian invasion of ukraine and chinas threats towards taiwan australia etc actually anyone who has arguments to oppose them
62c03d725dcb23acdffbd1b5,if russia makes any excuses now no one will pay any attention to them russia admits its running out of weapons in ukraine war newsweek news ukrainecrisis ukrainerussianwarcrimes terrorists russiaworldorder URL URL 
62c03dca5dcb23acdffbd1c5,one we should not forget or allow to get lost among the many atrocities of russias invasion of ukraine
62c03e675dcb23acdffbd1d7,user_mention user_mention user_mention user_mention user_mention if ukraine is dead why is russia still bogged down in conventional conflict 6 months in with largely stagnant front lines gotta love the antiimperialist bolshevists cheering on the invasion and killing of another nation tho mccarthy mcarther and patton were right
62c03e7c5dcb23acdffbd1d9,biden adm already struggling2persuade congress2 invest in renewable energyampcompelled by russias invasion of ukraine2push for increased production of fossil fuels once again finds its ambitious goals for confronting climate change slipping beyond reach URL 
62c03e965dcb23acdffbd1db,user_mention user_mention user_mention user_mention user_mention user_mention russia actively supported syria during their invasion by nato thankfully of course they will supply syria thankfully russia are also aiding syria to rebuild after the invasion by nato and its vassels
62c03eca5dcb23acdffbd1df,the bill if signed into law would give the kremlin the authority to establish special regulations concerning labor relations for certain organizations their divisions and selected production facilities translation factory workers doin overtime URL 
62c03f095dcb23acdffbd1e5,user_mention user_mention then they should react with a direct involvement in the russia invasion of ukraine and just arms supplies
62c03f595dcb23acdffbd1fa,the next step will be for russia to use slave labour in its munitions factories just you watch this is nazi germany all over again
62c03fc15dcb23acdffbd209,shredded trees dead dolphins and wildfires how russias invasion is hurting nature URL 
62c040665dcb23acdffbd21d,user_mention user_mention user_mention if this doesnt end can we call please onu blue army and draw the line and defence to start an other process for the invasion of the southern borders by october as hard violation of integrity call it the ueus turn revolution for democratic sake stop russia demonisation
62c040a35dcb23acdffbd227,the epa has also rejected the iea assessment that no one should imagine that russias invasion of ukraine can justify a wave of new largescale fossil fuel infrastructure in a world that wants to limit global warming to 15 c 10n URL 
62c040d25dcb23acdffbd22b,user_mention user_mention user_mention russia as a population of 14520 million people and 80 is behind this unprovoked invasion of ukraine and there was a percentage that wasnt bothered either way so theres only going to be a few thousand russians who is against the invasion of ukraine
62c040f55dcb23acdffbd235,finnish foreign minister pekka haavisto says war in europe is a possibility and that the fallout from russias invasion of ukraine meant the nordic nation could not maintain its longstanding policy of military nonalignment URL 
62c041115dcb23acdffbd23b,user_mention if belarus attack ukraine it show the world that russia cant win an invasion on its own so i think putin wont drag belarus into this until he has lost any chance of winning this invasion plus putin wants to secure the donbas region first before moving else where
62c041385dcb23acdffbd244,its the same with rightleaning contrarians who said the right never contests elections or initiates violence when they lie became so overt they switched to saying the left made them do it ditto russia invasion deniers who had to pivot to uhhh nato tricked putin
62c0414b5dcb23acdffbd249,user_mention user_mention user_mention user_mention i have issues because russia is a terrorist country i have issues because i dont agree with the russian invasion of a free country ukraine will be part of eu and nato sooner or later 
62c0415c5dcb23acdffbd24d,hundreds of years of oppression famine civil war world wars nuclear disarmament and border disputes leads to war between russia and ukraine the right honourable boris johnson putin being a man is why this is happening dont you know i hope he loses his seat in 2024
62c0416a5dcb23acdffbd251,this is what winning looks like russias new 100 ruble banknote is impossible to withdraw from atms after western firms that program cash machine quit the country following ukraine invasion URL 
62c043155dcb23acdffbd28b,in the first weeks international organisations werent visible even on ukraines border with poland which is relatively safe user_mention finds out how international aid humanitarian organisations were absent from russias invasion of ukraine URL 
62c0432f5dcb23acdffbd28f,user_mention user_mention user_mention no i just dont have tunnel vision and blame everything on biden pent up demand for goods post pandemic russias invasion of the ukraine has had a huge impact on supply and commodity prices price gouging by oil companies but keep going on about hunters laptop 
62c043d75dcb23acdffbd2a8,from monday going some credible npp mps and ministers with great potentials will be heard all over to fend for this case all in the name defending their party but so far as russiaukraine invasion and postcovid dey everything is solved hmm ghana URL 
62c044d75dcb23acdffbd2c1,user_mention as of now if russia wanted the us it could wipe our military out the only thing that stands in the way of a us invasion is the millions of armed american patriots
62c045315dcb23acdffbd2d3,user_mention i dont care about another leaders i stand for ukraine and its sovereign territory and against russia invasion they killed more than 30k civilians already and committed war crimes
62c0454f5dcb23acdffbd2d9,user_mention user_mention a whole lot of people assume that since russias invasion was wholly wrong the ukrainian government must consist of angels it does not justify russias invasion to point out that the ukrainian government wasnt exactly something great
62c045555dcb23acdffbd2dc,that was part 1 of the thread we will continue here belarus certainly has massive economy benefits with russia being its main trade partners however lukashenkos attempts to avoid relying too much to russia have collapsed now that belarus is a pariah state 26 URL 
62c0455c5dcb23acdffbd2dd,the answer is simple belarus has much to lose lukashenko has everything to lose its been clear from the start of the conflict that russia wanted the belarusian armed forces to assist its own in the invasion however that has not and most likely will never happen 3147 URL 
62c045615dcb23acdffbd2df,belarus still wishes to play both sides in the conflict and by invading ukraine he will only be further jeopardizing his strategy it should be clear to everyone including russia that lukashenko is playing for time constantly delaying the invasion that will never come 3447 URL 
62c0456c5dcb23acdffbd2e5,weve therefore realized that war would be a bad business for the country of belarus and its egomaniacal ruler the question now is what about russia surely russia would want belarus to assist it in its invasion of ukraine right well its more complicated 4247 URL 
62c0456d5dcb23acdffbd2e7,us to send another 820 million in security assistance to ukraine URL 
62c045765dcb23acdffbd2e9,if by actions of several countries one means belarus and russia and india for being neutral in the face of an invasion of ukraine sure well remember this next time china takes indian land by military force narendramodi URL 
62c0459c5dcb23acdffbd2ef,both russia and ukraine are using arbitrary detention and torture against civilians in the case of ukraine it includes those suspected of supporting the russian invasion and spreading fake information in some cases what ukraine is doing may amount to enforced disappearance URL 
62c045f45dcb23acdffbd305,russias invasion of ukraine causes turmoil in global oil markets biden blocks us imports of oil from russia and western sanctions cause energy companies to leave the country trace the history of oil and us foreign policy in our timeline URL 
62c046055dcb23acdffbd307, energynewsmonitor chinas coal imports surged 43 percent in april from march driven by panic buying over concerns of supply disruptions stemming from russias invasion of ukraine URL 
62c046365dcb23acdffbd30e,user_mention user_mention user_mention user_mention whats happening in ukraine is awful amp russias invasion is in fact an assault against the liberal world order remember in this context liberal basically means western democracyinternational law also note that the sanctions placed on russia stem from liberal world order too
62c047245dcb23acdffbd33a,user_mention user_mention no thats nonsense russia occupying donetsk and luhansk since 2014 doesnt change internationally agreed upon borders and a few collaborators not separatists dont legitimize the invasion
62c047735dcb23acdffbd345,user_mention i wish reagan was still alive to tell you all how foolish you are you desert people fighting invasion by russia and you know how many allies america will have left in the world zero why would anyone want an alliance with a country that has such an erratic foreign policy
62c047a05dcb23acdffbd34f,oops russias patriotic new 100 rouble banknote will not be launched as it is impossible to withdraw the bill from atms because the western companies that programmed them have quit the country in protest over vladimir putins genocidal invasion of ukraine URL 
62c047fe5dcb23acdffbd365,before russia invaded ukraine natalia yermak was working in kyiv for a childrens show once the war began she started covering the invasion as a part of a times team URL timeline photos URL 
62c048405dcb23acdffbd36f, police arrest 42 railway cars belonging to russian companies the arrested railway wagons belonging to companies registered in russia are valued at over 1 million the cars entered the territory of ukraine before the beginning of russias fullscale invasion
62c0485d5dcb23acdffbd385,russian mi35 attack helicopters destroy ukrainian targets ukraine russia ukrainerussia invasion URL 
62c0485e5dcb23acdffbd387,this was one of the objectives of the invasion as outlined last year
